ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
15401246,391154.19,3.133,10^6 K181,Salivary Gland,P-27,13,20
620937.88,3476.7815,14.21,10^6 K181,Body,P-23,13,20
697925.81,3907.8555,14.21,10^6 K181,Body,P-24,13,20
406744.16,2277.459,14.21,10^6 K181,Body,P-25,13,20
775612.44,4342.8418,14.21,10^6 K181,Body,P-26,13,20
519301.13,2907.6924,14.21,10^6 K181,Body,P-27,13,20
751044.25,19074.695,3.133,10^2 K181,Salivary Gland,P-18,13,20
751194.31,19078.508,3.133,10^2 K181,Salivary Gland,P-19,13,20
689928.25,17522.498,3.133,10^2 K181,Salivary Gland,P-20,13,20
2563221,65099.574,3.133,10^2 K181,Salivary Gland,P-21,13,20
2003656.8,50888.004,3.133,10^2 K181,Salivary Gland,P-22,13,20
942640.63,5278.0728,14.21,10^2 K181,Body,P-18,13,20
479880,2686.9639,14.21,10^2 K181,Body,P-19,13,20
644032.5,3606.0935,14.21,10^2 K181,Body,P-20,13,20
549154.75,3074.8503,14.21,10^2 K181,Body,P-21,13,20
453865,2541.2998,14.21,10^2 K181,Body,P-22,13,20
90214.898,2291.2388,3.133,10^2 K181,Salivary Gland,P-18,0,20
101972.71,2589.8586,3.133,10^2 K181,Salivary Gland,P-19,0,20
92906.867,2359.6084,3.133,10^2 K181,Salivary Gland,P-20,0,20
66340.938,1684.8983,3.133,10^2 K181,Salivary Gland,P-21,0,20
94138.641,2390.8923,3.133,10^2 K181,Salivary Gland,P-22,0,20
340362.91,1905.7742,14.21,10^2 K181,Body,P-18,0,20
333366.47,1866.5994,14.21,10^2 K181,Body,P-19,0,20
356201.22,1994.4569,14.21,10^2 K181,Body,P-20,0,20
282420.41,1581.3402,14.21,10^2 K181,Body,P-21,0,20
383927.28,2158.4048,14.15,10^2 K181,Body,P-22,0,20
82233.016,2088.5186,3.133,10^2 K181,Salivary Gland,P-18,1,20
85632.703,2174.8623,3.133,10^2 K181,Salivary Gland,P-19,1,20
87399.734,2219.7405,3.133,10^2 K181,Salivary Gland,P-20,1,20
96091.563,2440.4919,3.133,10^2 K181,Salivary Gland,P-21,1,20
82224.063,2088.291,3.133,10^2 K181,Salivary Gland,P-22,1,20
385069.47,2156.0969,14.21,10^2 K181,Body,P-18,1,20
396984.06,2222.8096,14.21,10^2 K181,Body,P-19,1,20
374144.81,2094.9272,14.21,10^2 K181,Body,P-20,1,20
412929.88,2312.0942,14.21,10^2 K181,Body,P-21,1,20
349894.59,1959.1444,14.21,10^2 K181,Body,P-22,1,20
78884.844,2003.483,3.133,10^2 K181,Salivary Gland,P-18,2,20
93594.422,2377.0706,3.133,10^2 K181,Salivary Gland,P-19,2,20
71924.219,1826.7001,3.133,10^2 K181,Salivary Gland,P-20,2,20
93000.938,2361.9973,3.133,10^2 K181,Salivary Gland,P-21,2,20
93126.352,2365.1829,3.133,10^2 K181,Salivary Gland,P-22,2,20
501953.34,2810.5581,14.21,10^2 K181,Body,P-18,2,20
1353290.5,7577.4009,14.21,10^2 K181,Body,P-19,2,20
956803.69,5357.3755,14.21,10^2 K181,Body,P-20,2,20
453488.72,2539.1931,14.21,10^2 K181,Body,P-21,2,20
889911.88,4982.8315,14.21,10^2 K181,Body,P-22,2,20
69012.758,1752.7561,3.133,10^2 K181,Salivary Gland,P-18,3,20
65841.508,1672.2141,3.133,10^2 K181,Salivary Gland,P-19,3,20
57057.863,1449.131,3.133,10^2 K181,Salivary Gland,P-20,3,20
62515.727,1587.7473,3.133,10^2 K181,Salivary Gland,P-21,3,20
57926.82,1471.2003,3.133,10^2 K181,Salivary Gland,P-22,3,20
1188412.4,6654.2085,14.21,10^2 K181,Body,P-18,3,20
